Time,Type,Target,Status,Details
2025-05-03 00:23:50,SERVICE,10.17.52.109,identified,"{""banner"":""."",""port"":139,""service"":""unknown""}"
2025-05-03 00:23:51,SERVICE,10.17.52.109,identified,"{""port"":445,""service"":""unknown""}"
2025-05-03 00:23:53,PORT,10.17.172.184,open,"{""port"":139}"
2025-05-03 00:23:53,PORT,10.17.172.184,open,"{""port"":445}"
2025-05-03 00:23:53,PORT,10.17.172.184,open,"{""port"":135}"
2025-05-03 00:23:53,SERVICE,10.17.52.109,identified,"{""domain_name"":""WORKGROUP"",""mac"":""4c:d5:77:b8:1c:75"",""port"":139,""server_service"":""WANGXIAOPAO"",""workstation_service"":""WANGXIAOPAO""}"
2025-05-03 00:23:54,PORT,10.17.20.74,open,"{""port"":139}"
2025-05-03 00:23:54,PORT,10.17.20.74,open,"{""port"":445}"
2025-05-03 00:23:54,PORT,10.17.20.74,open,"{""port"":135}"
2025-05-03 00:23:55,SERVICE,10.17.48.210,identified,"{""banner"":""."",""port"":139,""service"":""unknown""}"
2025-05-03 00:23:55,SERVICE,10.17.48.210,identified,"{""domain_name"":""WORKGROUP"",""mac"":""8c:b8:7e:0e:52:ea"",""port"":139,""server_service"":""LAPTOP-0184RMPG"",""workstation_service"":""LAPTOP-0184RMPG""}"
